City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,ambalavao,-21.8333,46.9333,15.96,57,0,0.99,MG,1686632000
322,morondava,-20.2833,44.2833,18.91,78,2,2.89,MG,1686632000
323,ketchikan,55.3422,-131.6461,15.26,58,0,3.6,US,1686631789
324,vorgashor,67.5833,63.95,7.31,72,100,6.97,RU,1686632000
325,tarusa,54.7233,37.1767,13.2,64,11,6.22,RU,1686632001
326,nova vicosa,-17.8919,-39.3719,22.04,91,1,2.8,BR,1686632001
327,pangody,65.85,74.4859,6.99,44,16,8.08,RU,1686632001
328,sao joao da barra,-21.6403,-41.0511,22.5,89,52,2.8,BR,1686632001
329,zhanibek,49.4167,46.85,20.17,52,98,7.66,KZ,1686632001
330,sos'va,59.1766,61.8558,16.4,40,7,3.23,RU,1686632001
331,tamanrasset,22.785,5.5228,25.95,31,20,0.0,DZ,1686631751
332,dzilam gonzalez,21.2833,-88.9333,26.99,81,41,2.73,MX,1686632002
333,edmundston,47.3737,-68.3251,19.63,76,0,0.51,CA,1686632002
334,indramayu,-6.3264,108.32,29.69,68,41,5.56,ID,1686632002
335,aitape,-3.1374,142.3475,27.9,82,100,1.24,PG,1686632002
336,teple,48.3086,39.5737,15.38,82,84,5.12,UA,1686632002
337,mulayjah,27.271,48.4242,39.29,14,1,2.87,SA,1686632002
338,mana,5.6592,-53.7767,25.49,86,100,3.47,GF,1686632002
339,mount gambier,-37.8333,140.7667,11.52,82,83,5.14,AU,1686632002
340,fort mcmurray,56.7268,-111.381,17.77,63,40,1.54,CA,1686632003
341,kurgan,55.45,65.3333,15.85,34,20,3.92,RU,1686632003
342,hotan,37.0997,79.9269,34.8,10,99,2.83,CN,1686632003
343,plastun,44.7561,136.2939,15.81,75,89,2.94,RU,1686632003
344,krugersdorp,-26.0858,27.7752,4.49,82,0,5.07,ZA,1686632003
345,tadine,-21.55,167.8833,22.07,65,57,5.68,NC,1686632003
346,gewane,10.1664,40.6453,29.71,45,98,4.68,ET,1686632003
347,piti village,13.4626,144.6933,30.17,81,75,5.66,GU,1686632003
348,vorkuta,67.5,64.0,7.03,74,100,6.8,RU,1686632004
349,rikaze,29.25,88.8833,19.36,28,28,1.69,CN,1686632004
350,bazarak,35.3129,69.5152,24.06,36,57,1.73,AF,1686632004
351,jinchang,38.4953,102.1739,28.66,13,0,5.92,CN,1686632004
352,jabat,7.75,168.9751,28.49,79,100,7.95,MH,1686632004
353,bouna,9.2667,-3.0,21.33,94,86,2.82,CI,1686632004
354,navalmoral de la mata,39.8916,-5.5406,17.75,73,36,2.07,ES,1686632004
355,san pedro pochutla,15.7333,-96.4667,26.27,83,40,1.65,MX,1686632004
356,galesong,-5.3166,119.3661,31.01,65,82,2.33,ID,1686632005
357,mashava,-20.0367,30.4823,13.94,45,38,2.18,ZW,1686632005
358,camayenne,9.535,-13.6878,25.96,82,100,1.58,GN,1686632005
359,makurdi,7.7411,8.5121,23.11,91,95,1.19,NG,1686631919
360,choele choel,-39.2667,-65.6833,5.72,42,3,4.92,AR,1686632005
361,ancud,-41.8697,-73.8203,4.16,89,75,2.58,CL,1686632005
362,saint-philippe,-21.3585,55.7679,24.77,69,0,1.84,RE,1686632005
363,mwinilunga,-11.7358,24.4293,15.9,55,84,1.18,ZM,1686632005
364,skowhegan,44.7651,-69.7192,16.75,96,100,0.74,US,1686632006
365,kolonia town,6.964,158.206,32.06,74,100,4.12,FM,1686632006
366,bam,29.106,58.357,35.52,12,0,5.87,IR,1686632006
367,yuzhno-kurilsk,44.0306,145.8556,11.37,96,100,3.78,RU,1686632006
368,sao felix do xingu,-6.6447,-51.995,21.77,85,4,0.56,BR,1686632006
369,chiquimula,14.8,-89.55,24.85,72,100,0.95,GT,1686632006
370,thivai,38.325,23.3189,22.18,74,71,2.75,GR,1686632006
371,cambria,35.5641,-121.0808,15.41,90,15,1.04,US,1686632007
372,kovdor,67.5662,30.4758,12.64,68,92,4.25,RU,1686632007
373,al kharijah,25.4514,30.5464,33.13,21,0,4.95,EG,1686632007
374,la'ie,21.6477,-157.9253,27.98,75,1,3.13,US,1686632007
375,ambon,-3.6954,128.1814,29.08,82,40,1.54,ID,1686632007
376,milharado,38.9473,-9.1991,17.41,73,20,2.06,PT,1686632007
377,sault ste. marie,46.5168,-84.3333,10.16,100,100,7.72,CA,1686631990
378,chui,-33.6971,-53.4616,8.87,73,98,1.84,UY,1686632007
379,zabid,14.1951,43.3152,32.89,58,91,4.15,YE,1686631710
380,novyy turtkul',41.55,61.0167,27.95,11,26,5.68,UZ,1686632008
381,toyooka,35.5333,134.8333,28.03,65,75,4.12,JP,1686632008
382,alesund,62.4723,6.1549,14.95,79,75,0.51,NO,1686631745
383,nahrin,36.0649,69.1334,29.76,25,52,2.22,AF,1686632008
384,happy valley-goose bay,53.3168,-60.3315,13.17,54,20,1.03,CA,1686632008
385,heroica ciudad de tlaxiaco,17.2667,-97.6833,16.22,81,88,1.77,MX,1686632008
386,gawler,-34.6,138.7333,15.83,71,31,8.48,AU,1686632008
387,monte alegre,-2.0078,-54.0692,23.21,96,63,1.82,BR,1686632008
388,quibor,9.9287,-69.6201,21.54,84,96,2.38,VE,1686632009
389,cockburn town,21.4612,-71.1419,27.83,84,8,10.35,TC,1686632009
390,coaticook,45.1334,-71.7991,17.87,89,100,2.86,CA,1686632009
